"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cbjavaloader registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module str registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module quick registered successfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","==> Registered All Modules in 40 ms"
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module HTMLHelper activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module hyper activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Activating quick requests dependency activation: qb"
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module qb activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Activating quick requests dependency activation: str"
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Activating str requests dependency activation: cbjavaloader"
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cbjavaloader activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cbjavaloader already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module str activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module normalizeToArray activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cfcollection activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module qb already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module str already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module quick activated sucessfully."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module cfcollection already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module normalizeToArray already activated, skipping activation."
"INFO","FILES","03/30/2020","19:31:57","coldbox.system.web.services.ModuleService","Module qb already activated, skipping activation."
